"idea_id","category_id","category_name","subcategory_id","subcategory_name","collection_id","status","title","slug","summary","tags","pros_json","cons_json","verdict","trend_score","tier","","","","","","","","","",""
"IDEA-00016","CAT-002","AI & Automation","SUB-016","Automated Customer Support Pipelines","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00017","CAT-002","AI & Automation","SUB-017","AI Web Scraping & Lead Enrichment","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00018","CAT-002","AI & Automation","SUB-018","Generative AI Design Tools","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00019","CAT-002","AI & Automation","SUB-019","AI Code Copilots","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00020","CAT-002","AI & Automation","SUB-020","Predictive Analytics for E-Commerce","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00021","CAT-003","Creator & Media","SUB-021","Niche Newsletter Publishing","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00022","CAT-003","Creator & Media","SUB-022","Podcast Production & Monetization","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00023","CAT-003","Creator & Media","SUB-023","Digital Product Marketplaces","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00024","CAT-003","Creator & Media","SUB-024","Educational Course Platforms","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00025","CAT-003","Creator & Media","SUB-025","Paid Community Platforms","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00026","CAT-003","Creator & Media","SUB-026","Curated Sponsorship Agencies","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00027","CAT-003","Creator & Media","SUB-027","Faceless YouTube Channels","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00028","CAT-003","Creator & Media","SUB-028","Interactive Quiz & Assessment Tools","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00029","CAT-003","Creator & Media","SUB-029","Creator Asset Libraries","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00030","CAT-003","Creator & Media","SUB-030","Micro-Influencer Talent Agencies","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00031","CAT-004","FinTech & Finance","SUB-031","Personal Expense & Budgeting Apps","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00032","CAT-004","FinTech & Finance","SUB-032","Invoice & Billing Software for Freelancers","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00033","CAT-004","FinTech & Finance","SUB-033","Crypto & Web3 Tax Calculators","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00034","CAT-004","FinTech & Finance","SUB-034","Embedded Banking for Platforms","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00035","CAT-004","FinTech & Finance","SUB-035","Fractional Real Estate Investing","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00036","CAT-004","FinTech & Finance","SUB-036","Micro-Lending & Credit Scoring","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00037","CAT-004","FinTech & Finance","SUB-037","Expense Management for Remote Teams","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00038","CAT-004","FinTech & Finance","SUB-038","Algo-Trading & Bot Marketplaces","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00039","CAT-004","FinTech & Finance","SUB-039","Subscription Management & Cancellation","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00040","CAT-004","FinTech & Finance","SUB-040","Cross-Border Payment Facilitators","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00041","CAT-005","E-Commerce & Retail","SUB-041","Niche DTC Physical Products","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00042","CAT-005","E-Commerce & Retail","SUB-042","Automated Print-On-Demand Brands","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00043","CAT-005","E-Commerce & Retail","SUB-043","Private Label Amazon FBA","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00044","CAT-005","E-Commerce & Retail","SUB-044","Curated Subscription Boxes","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00045","CAT-005","E-Commerce & Retail","SUB-045","Sustainable & Eco-Friendly Goods","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00046","CAT-005","E-Commerce & Retail","SUB-046","Hyper-Local Delivery Aggregators","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00047","CAT-005","E-Commerce & Retail","SUB-047","B2B Wholesale Marketplaces","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00048","CAT-005","E-Commerce & Retail","SUB-048","Dropshipping Automated Stores","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00049","CAT-005","E-Commerce & Retail","SUB-049","Re-Commerce & Vintage Reselling","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00050","CAT-005","E-Commerce & Retail","SUB-050","Personalization & Custom Gift Engines","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00051","CAT-006","Health & Fitness","SUB-051","Virtual Personal Training Platforms","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00052","CAT-006","Health & Fitness","SUB-052","Mental Health & Biofeedback Apps","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00053","CAT-006","Health & Fitness","SUB-053","Specialized Meal Planning & Nutrition","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00054","CAT-006","Health & Fitness","SUB-054","Corporate Wellness Programs","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00055","CAT-006","Health & Fitness","SUB-055","Elderly Care & Health Monitoring Tech","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00056","CAT-006","Health & Fitness","SUB-056","At-Home Medical Testing Kits","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00057","CAT-006","Health & Fitness","SUB-057","Fitness Equipment Rental Services","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00058","CAT-006","Health & Fitness","SUB-058","Biohacking & Longevity Tracking","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00059","CAT-006","Health & Fitness","SUB-059","Niche Gym & Studio Booking Apps","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00060","CAT-006","Health & Fitness","SUB-060","Sleep Optimization Coaching","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00061","CAT-007","Education & EdTech","SUB-061","AI Tutoring & Homework Assistants","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00062","CAT-007","Education & EdTech","SUB-062","Micro-Credentialing Platforms","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00063","CAT-007","Education & EdTech","SUB-063","Language Learning Gamification","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00064","CAT-007","Education & EdTech","SUB-064","Corporate Skill Reskilling Software","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00065","CAT-007","Education & EdTech","SUB-065","Interactive Coding Bootcamp Apps","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00066","CAT-007","Education & EdTech","SUB-066","Special Education Learning Tools","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00067","CAT-007","Education & EdTech","SUB-067","Test Preparation Portals","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00068","CAT-007","Education & EdTech","SUB-068","STEM Subscription Kits for Kids","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00069","CAT-007","Education & EdTech","SUB-069","Peer-to-Peer Study Marketplaces","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00070","CAT-007","Education & EdTech","SUB-070","Virtual Reality Training Simulators","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00071","CAT-008","Productivity & Workflow","SUB-071","Asynchronous Video Communication","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00072","CAT-008","Productivity & Workflow","SUB-072","AI Meeting Summarizer Tools","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00073","CAT-008","Productivity & Workflow","SUB-073","Knowledge Management Systems","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00074","CAT-008","Productivity & Workflow","SUB-074","Task & Habit Tracking Applications","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00075","CAT-008","Productivity & Workflow","SUB-075","Time Tracking & Invoicing Utilities","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00076","CAT-008","Productivity & Workflow","SUB-076","Tab & Bookmark Managers","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00077","CAT-008","Productivity & Workflow","SUB-077","Digital Asset Management (DAM)","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00078","CAT-008","Productivity & Workflow","SUB-078","Focus & Screen-Time Reduction Tools","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00079","CAT-008","Productivity & Workflow","SUB-079","Document e-Signing Platforms","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00080","CAT-008","Productivity & Workflow","SUB-080","Team Goal & OKR Trackers","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00081","CAT-009","B2B Services & Agencies","SUB-081","Productized Design Services","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00082","CAT-009","B2B Services & Agencies","SUB-082","SEO & Programmatic Content Agencies","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00083","CAT-009","B2B Services & Agencies","SUB-083","Cold Email & Lead Generation Outfits","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00084","CAT-009","B2B Services & Agencies","SUB-084","Fractional CMO / CFO Advisory","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00085","CAT-009","B2B Services & Agencies","SUB-085","Short-Form Video Editing Services","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00086","CAT-009","B2B Services & Agencies","SUB-086","Webflow & Framer Development Studios","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00087","CAT-009","B2B Services & Agencies","SUB-087","Amazon Store Optimization Consultancies","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00088","CAT-009","B2B Services & Agencies","SUB-088","Conversion Rate Optimization Agencies","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00089","CAT-009","B2B Services & Agencies","SUB-089","Remote HR & Recruitment Agencies","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00090","CAT-009","B2B Services & Agencies","SUB-090","High-Ticket Sales Outreach Agencies","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00091","CAT-010","Local & Real Estate","SUB-091","Co-Working & Shared Workspace Tech","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00092","CAT-010","Local & Real Estate","SUB-092","Vacation Rental Management","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00093","CAT-010","Local & Real Estate","SUB-093","Local Service Professional Directories","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00094","CAT-010","Local & Real Estate","SUB-094","Property Management SaaS","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00095","CAT-010","Local & Real Estate","SUB-095","Commercial Cleaning & Maintenance","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00096","CAT-010","Local & Real Estate","SUB-096","Mobile Car Detailing Marketplaces","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00097","CAT-010","Local & Real Estate","SUB-097","Storage Unit Rental Portals","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00098","CAT-010","Local & Real Estate","SUB-098","Home Renovation Estimation Tools","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00099","CAT-010","Local & Real Estate","SUB-099","Solar Panel Installation Services","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00100","CAT-010","Local & Real Estate","SUB-100","Event Space Rental Marketplaces","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00101","CAT-011","Demographics (By Audience)","SUB-101","Business Ideas for College Students","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00102","CAT-011","Demographics (By Audience)","SUB-102","Business Ideas for Stay-at-Home Moms","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00103","CAT-011","Demographics (By Audience)","SUB-103","Business Ideas for Retirees & Seniors","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00104","CAT-011","Demographics (By Audience)","SUB-104","Business Ideas for Teenagers","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00105","CAT-011","Demographics (By Audience)","SUB-105","Business Ideas for Introverts","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00106","CAT-011","Demographics (By Audience)","SUB-106","Business Ideas for Military Veterans","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00107","CAT-011","Demographics (By Audience)","SUB-107","Business Ideas for Couples","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00108","CAT-011","Demographics (By Audience)","SUB-108","Business Ideas for Software Developers","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00109","CAT-011","Demographics (By Audience)","SUB-109","Business Ideas for Immigrants","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00110","CAT-011","Demographics (By Audience)","SUB-110","Business Ideas for Teachers","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00111","CAT-012","Budget-Based","SUB-111","High-Profit Businesses Under $100","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00112","CAT-012","Budget-Based","SUB-112","Zero-Capital Digital Businesses","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00113","CAT-012","Budget-Based","SUB-113","Mid-Budget Ventures ($1k-$5k)","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00114","CAT-012","Budget-Based","SUB-114","High-Capital Asset Businesses ($50K+)","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00115","CAT-012","Budget-Based","SUB-115","Cash-Flow Businesses Under $500","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00116","CAT-012","Budget-Based","SUB-116","Passive Income Businesses","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00117","CAT-012","Budget-Based","SUB-117","High-Margin Service Businesses","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00118","CAT-012","Budget-Based","SUB-118","Low-Overhead Virtual Franchises","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00119","CAT-012","Budget-Based","SUB-119","Sweat-Equity Local Ventures","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00120","CAT-012","Budget-Based","SUB-120","Micro-Acquisition Flipping Models","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00121","CAT-013","Green Tech & Sustainability","SUB-121","Carbon Footprint Offset Marketplaces","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00122","CAT-013","Green Tech & Sustainability","SUB-122","Circular Economy & Textile Recycling","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00123","CAT-013","Green Tech & Sustainability","SUB-123","Smart Home Energy Optimization","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00124","CAT-013","Green Tech & Sustainability","SUB-124","EV Charging Station Networks","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00125","CAT-013","Green Tech & Sustainability","SUB-125","Food Waste Reduction Logistics","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00126","CAT-013","Green Tech & Sustainability","SUB-126","Upcycled Consumer Products","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00127","CAT-013","Green Tech & Sustainability","SUB-127","Sustainable Packaging Alternatives","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00128","CAT-013","Green Tech & Sustainability","SUB-128","Urban Farming & Hydroponics","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00129","CAT-013","Green Tech & Sustainability","SUB-129","Water Conservation Systems","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00130","CAT-013","Green Tech & Sustainability","SUB-130","Renewable Energy Consulting","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00131","CAT-014","Legal Tech & Compliance","SUB-131","Automated Contract Review Software","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00132","CAT-014","Legal Tech & Compliance","SUB-132","GDPR & Privacy Compliance Tools","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00133","CAT-014","Legal Tech & Compliance","SUB-133","Trademark & Patent Search Engines","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00134","CAT-014","Legal Tech & Compliance","SUB-134","Online Dispute Resolution Portals","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00135","CAT-014","Legal Tech & Compliance","SUB-135","AI Legal Document Generators","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00136","CAT-014","Legal Tech & Compliance","SUB-136","Corporate Governance Tracking","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00137","CAT-014","Legal Tech & Compliance","SUB-137","Estate Planning & Will Generators","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00138","CAT-014","Legal Tech & Compliance","SUB-138","Freelance Contract Generators","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00139","CAT-014","Legal Tech & Compliance","SUB-139","Regulatory Intelligence Monitoring","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00140","CAT-014","Legal Tech & Compliance","SUB-140","Tenant & Lease Legal Software","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00141","CAT-015","Cyber & Data Privacy","SUB-141","Personal Data Removal Services","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00142","CAT-015","Cyber & Data Privacy","SUB-142","Password Managers for Enterprises","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00143","CAT-015","Cyber & Data Privacy","SUB-143","Small Business Threat Monitoring","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00144","CAT-015","Cyber & Data Privacy","SUB-144","Secure Encrypted Cloud Storage","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00145","CAT-015","Cyber & Data Privacy","SUB-145","Phishing Training Simulators","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00146","CAT-015","Cyber & Data Privacy","SUB-146","Identity Theft Protection Tech","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00147","CAT-015","Cyber & Data Privacy","SUB-147","VPN & Proxy Networks","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00148","CAT-015","Cyber & Data Privacy","SUB-148","Dark Web Data Leak Alerts","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00149","CAT-015","Cyber & Data Privacy","SUB-149","IoT Device Security Suites","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00150","CAT-015","Cyber & Data Privacy","SUB-150","Compliance Audit Automation","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00151","CAT-016","BioTech & Healthcare Tech","SUB-151","Telehealth Platforms","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00152","CAT-016","BioTech & Healthcare Tech","SUB-152","AI Medical Imaging Diagnostics","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00153","CAT-016","BioTech & Healthcare Tech","SUB-153","Genomics & DNA Analytics","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00154","CAT-016","BioTech & Healthcare Tech","SUB-154","Patient Engagement & Care Coordination","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00155","CAT-016","BioTech & Healthcare Tech","SUB-155","Remote Patient Monitoring Systems","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00156","CAT-016","BioTech & Healthcare Tech","SUB-156","Clinical Trial Management Software","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00157","CAT-016","BioTech & Healthcare Tech","SUB-157","Health Information Exchange Portals","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00158","CAT-016","BioTech & Healthcare Tech","SUB-158","Digital Therapeutics Applications","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00159","CAT-016","BioTech & Healthcare Tech","SUB-159","Pharmacy Management Automation","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00160","CAT-016","BioTech & Healthcare Tech","SUB-160","Medical Equipment Maintenance Tech","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00161","CAT-017","Mobility & Transportation","SUB-161","EV Fleet Management Systems","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00162","CAT-017","Mobility & Transportation","SUB-162","Micro-Mobility Sharing Tech","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00163","CAT-017","Mobility & Transportation","SUB-163","Autonomous Vehicle Software","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00164","CAT-017","Mobility & Transportation","SUB-164","Ride-Sharing & Carpooling Apps","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00165","CAT-017","Mobility & Transportation","SUB-165","Smart Parking Management Systems","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00166","CAT-017","Mobility & Transportation","SUB-166","Aviation & Drone Logistics","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00167","CAT-017","Mobility & Transportation","SUB-167","Freight & Truck Routing Tech","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00168","CAT-017","Mobility & Transportation","SUB-168","Vehicle Telematics & Tracking","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00169","CAT-017","Mobility & Transportation","SUB-169","Public Transit Analytics","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00170","CAT-017","Mobility & Transportation","SUB-170","Battery Swapping Infrastructure Software","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00171","CAT-018","Gaming & Esports Tech","SUB-171","Game Development Engines & Plugins","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00172","CAT-018","Gaming & Esports Tech","SUB-172","Esports Tournament Hosting Platforms","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00173","CAT-018","Gaming & Esports Tech","SUB-173","In-Game Asset Marketplaces","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00174","CAT-018","Gaming & Esports Tech","SUB-174","Cloud Gaming Infrastructure","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00175","CAT-018","Gaming & Esports Tech","SUB-175","Streamer Analytics & Sponsorship Tools","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00176","CAT-018","Gaming & Esports Tech","SUB-176","Anti-Cheat & Game Security","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
"IDEA-00177","CAT-018","Gaming & Esports Tech","SUB-177","Voice Chat & Social Gaming Apps","COL-DEFAULT","pending","","","","","","","","","","","","","","","","","","",""
